512;cafeteria;Cafeteria Adalbertstraﬂe;Adalbertstr. 5;;;Mo-Do 11-14.30, Fr 11-13.45;;
533;cafeteria;Cafeteria Heﬂstraﬂe;Lothstr. 64 Geb‰ude R;;;Mo-Do 9-15, Fr 9-14.30;;
1017;cafeteria;Cafeteria Mensa Leopoldstr;Leopoldstr. 13a;;;Mo-Fr 11-14;;
1018;cafeteria;Crazy Bean Bar;Arcisstr. 17;;;Mo-Fr 8-17;;
1019;cafeteria;Espresso-Bar Mensa Leopoldstr;Leopoldstr. 13a;;;Mo-Fr 9-15.30;;
1020;cafeteria;Espresso-Bar Leopoldstr;Leopoldstr. 13 Haus 2;;;Mo-Do 10-15, Fr 10-14;;
1021;cafeteria;Espresso-Bar Ludwigstr;Ludwigstr. 28 RG;;;Mo-Do 9-21.30, Fr 9-18;;
523;cafeteria;Cafeteria Olympiapark;Connollystr. 32;;;Mo-Fr 11-14;;
413;cafeteria;Mensaria Schillerstraﬂe;Schillerstr. 47;;;Mo-Do 11-14.15, Fr 11-14;;
418;cafeteria;Mensaria Goethestraﬂe;Goethestr. 70;;;Mo-Do 11-14, Fr 11-13.30;;
432;cafeteria_pas;Mensa Pasing;Am Stadtpark 20;;;Mo-Do 11-13.45, Fr 11-13.30;;
1022;cafeteria_pas;Cafeteria Pasing;Am Stadtpark 20;;;Mo-Do 7.45-16, Fr 7.45-14.30;;
423;cafeteria_wst;Mensa Cafeteria Weihenstephan;Maximus-von-Imhof-Forum 5, Freising;;;Mo-Fr 11-13.30;;
526;cafeteria_wst;Cafeteria Akademie;Altes Akademiegeb‰ude, Freising;;;Mo-Do 11-14, Fr 11-13.15;;
1023;cafeteria_wst;Espresso-Bar Mensa Weihenstephan;Maximus-von-Imhof-Forum 5, Freising;;;Mo-Fr 10.30-14.30;;
412;cafeteria_grh;Mensa Martinsried;Groﬂhaderner Straﬂe 6, Martinsried;;;Mo-Do 11-14, Fr 11-13.30;;
414;cafeteria_grh;Mensaria Groﬂhadern;Butenandtstr. 13 Geb‰ude F;;;Mo-Do 11-14, Fr 11-13.30;;
1024;cafeteria_grh;Espresso-Bar Martinsried;Groﬂhaderner Straﬂe 2, Martinsried;;;Mo-Fr 11-14.30;;
1025;info;Skriptenverkauf Mathe, Physik, Informatik;Boltzmannstr. 3, Garching;MI 00.06.039;;noch nicht bekannt;;
1026;info;Infopoint Informatik;Boltzmannstr. 3, Garching;MI 00.10.013;;Mo-Do 9.30-17, Fr 9.30-13;;
1027;info;Studenten Service Zentrum, Studienberatung;Arcisstr. 21;Raum 0140;U2 Kˆnigsplatz;Mo,Mi 14-16, Fr 9-12;Termin per Telefon: 089-28922737\nTelefonsprechstunde: Di 10-12;
1028;info;Studenten Service Zentrum, Immatrikulation;Arcisstr. 21;Raum 0140;U2 Kˆnigsplatz;Mo-Fr 9-12, Mo-Do 13-16;Telefon: 089-28922245;
1029;info;Zentraler Hochschulsport (ZHS) Ausweise/Marken;Connollystraﬂe 32;;U3 Olympiazentrum;Mo-Mi 9-11, Do 17-19;Ausnahme: 17.-27. Oktober Mo-Do 16-19;
1030;info;Studienberatung Informatik (A. Reiser);Boltzmannstr. 3, Garching;MI 02.11.053;;Mo 13-14, Mi 13-15, Ausland Mi 10-11;Telefon: 089-28917284\nEmail: reiser@in.tum.de;
1031;info;Studienberatung Informatik (V. Simic);Boltzmannstr. 3, Garching;MI 02.11.033;;Di 13-15, Do 10-11, Fr 9-11;Telefon: 089-28917296\nEmail: vivija.simic@in.tum.de;
